"","Бренд","Вид","Гарантия","Звуковой сигнал при закипании","Индикация включения","Кнопка открывания крышки","Корзина для заварки чая","Максимальная потребляемая мощность (Вт)","Максимальный объем (л)","Масса (кг)","Материал корпуса","Нагревательный элемент","Подсветка корпуса","Состав набора","Страна производства","Тип управления","Уникальное описание","Фильтр","Цвет","Цена, (р)"
"Philips HD4686/30","Philips",NA,NA,"есть","есть",NA,"нет","2400","1,5",NA,"металл/пластик","скрытый","нет",NA,NA,"электронный",NA,"есть","белый","5990"
"Philips HD4686/60","Philips",NA,NA,"есть","есть",NA,"нет","2400","1,5",NA,"металл/пластик","скрытый","нет",NA,NA,"электронный",NA,"есть","бежевый","5990"
"Philips HD4686/90","Philips",NA,NA,"есть","есть",NA,"нет","2400","1,5",NA,"металл/пластик","скрытый","нет",NA,NA,"электронный",NA,"есть","черный","5990"
"Philips HD4690","Philips",NA,"2 года","есть","есть",NA,"нет","2400","1,5",NA,"металл","скрытый","есть",NA,NA,"механический","Да","есть","серый","4590"
"Tefal BF2631","Tefal",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1290"
"Tefal BF2632","Tefal",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","желтый","1280"
"Tefal BF5601","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1290"
"Tefal BF5611","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","желтый","1140"
"Tefal BF6120","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1240"
"Tefal BF6623","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","голубой","1690"
"Tefal BF6630","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"металл/пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1490"
"Tefal BI6625","Tefal",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","алюминиевый","2290"
"Tefal BI7625","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"металл/пластик","скрытый","нет",NA,NA,"механический",NA,"есть","алюминиевый","2240"
"Tefal BI9625","Tefal",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"металл/пластик","скрытый","нет",NA,NA,"механический",NA,"есть","алюминиевый","2630"
"Tefal BK2630","Tefal",NA,NA,"нет","есть",NA,"есть","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","2930"
"Tefal BK9635","Tefal",NA,NA,"нет","есть",NA,"есть","2400","1,7",NA,"металл/пластик","скрытый","нет",NA,NA,"механический",NA,"есть","алюминиевый","4490"
"Tefal KI2015","Tefal",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","алюминиевый","1870"
"Tefal KI2016","Tefal",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","черный","1930"
"Tefal KI410D","Tefal",NA,"2 года","нет","есть",NA,"нет","2400","1,5",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","3380"
"Tefal KO1021","Tefal",NA,NA,"нет","есть",NA,"нет","650","0,4",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","940"
"Tefal KO2991","Tefal",NA,"2 года","нет","есть",NA,"нет","2200","1,5",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","2410"
"Tefal KO4108","Tefal",NA,NA,"нет","есть",NA,"нет","2400","1,5",NA,"пластик","скрытый","есть",NA,NA,"механический",NA,"есть","черный","4530"
"Philips HD4654/40","Philips",NA,"2 года","нет","есть",NA,NA,"2400","1,7",NA,"металл/пластик","скрытый","нет",NA,NA,"механический",NA,"есть","красный","3790"
"Moulinex BY5200","Moulinex",NA,NA,"нет","есть","есть",NA,"3000","2",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","2250"
"Tefal KO7001","Tefal",NA,NA,"нет","есть",NA,NA,"2400","1",NA,"керамика","скрытый","нет",NA,NA,"механический",NA,"есть","белый","4990"
"Tefal BF6634","Tefal",NA,NA,"нет","есть",NA,NA,"2200","1,7",NA,"металл/пластик","скрытый","нет",NA,NA,"механический",NA,"есть","шоколадный","1490"
"Bosch TWK86104","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,5",NA,"металл/пластик","скрытый","нет",NA,NA,"механический",NA,"есть","красный","5990"
"Braun WK500 белый","Braun",NA,NA,"нет","есть",NA,"нет","3000","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","2990"
"Tefal KI170D40","Tefal",NA,NA,"нет","есть",NA,NA,"2400","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","2890"
"Bosch TWK3A011","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","2080"
"Philips HD4665/40","Philips",NA,"2 года","нет","есть",NA,"нет","2400","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","красный","3680"
"Philips HD4665/50","Philips",NA,"2 года","нет","есть",NA,"нет","2400",NA,NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","бежевый","3690"
"Philips HD9321","Philips",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","серый","2090"
"Philips HD4676","Philips",NA,"2 года","есть","есть",NA,"нет","2400","1",NA,"металл","скрытый","есть",NA,"Германия","механический",NA,"есть","черный","1430"
"Philips HD4677/20","Philips",NA,"2 года","есть","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","есть",NA,"Германия","механический",NA,"есть","черный","1680"
"Philips HD4647","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,5",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1350"
"Philips HD9382","Philips",NA,NA,"есть","есть",NA,"нет","2200","1,5",NA,"стекло, металл","скрытый","нет",NA,NA,"механический",NA,"есть","черный","3990"
"Scarlett SC-222","Scarlett",NA,NA,NA,NA,NA,NA,"2200","1,7",NA,"металл","скрытый",NA,NA,NA,"механический",NA,NA,NA,"1090"
"Supra KES-1722","Supra",NA,NA,"нет","есть",NA,"нет","1200","1,7",NA,"пластик","скрытый",NA,NA,NA,"механический",NA,"есть","голубой","990"
"Tefal KI2100","Tefal",NA,NA,"нет","есть",NA,"нет","2400","1,5",NA,"металл","скрытый","нет",NA,NA,"механический","Старая модель","есть","стальной","1990"
"Kenwood SJM023","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","синий","4490"
"Kenwood SJM024A","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1",NA,"Нержавеющая сталь","скрытый","есть",NA,NA,"механический",NA,"есть","черный","3690"
"Kenwood SJM028","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1",NA,"Нержавеющая сталь","скрытый","есть",NA,NA,"механический",NA,"есть","желтый","4490"
"Kenwood SJM029","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1",NA,"Нержавеющая сталь","скрытый","есть",NA,NA,"механический",NA,"есть","розовый","4490"
"Oursson EK1710P/DC","Oursson",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","темная вишня","1990"
"Oursson EK1710P/GA","Oursson",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","зеленое яблоко","1990"
"Oursson EK1710P/WH","Oursson",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1990"
"Oursson EK1555M/DC","Oursson",NA,NA,"нет","есть",NA,"нет","2200","1,5",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","темная вишня","2190"
"Oursson EK1555M/OR","Oursson",NA,NA,"нет","есть",NA,"нет","2200","1,5",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","оранжевый","2190"
"Oursson EK1760M/DC","Oursson",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","темная вишня","3490"
"Oursson EK1760M/GA","Oursson",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","зеленое яблоко","3490"
"Oursson EK1760M/IV","Oursson",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","слоновая кость","2390"
"Oursson EK1775MD/DC","Oursson",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","темная вишня","4490"
"Oursson EK1775MD/GA","Oursson",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","зеленое яблоко","4490"
"Oursson EK1775MD/IV","Oursson",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","слоновая кость","4490"
"Oursson EK1775MD/OR","Oursson",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","оранжевый","4490"
"Bork K711","Bork",NA,NA,"есть","есть",NA,NA,"2400","1,7",NA,"Нержавеющая сталь","скрытый",NA,NA,NA,"механический",NA,"есть","стальной","7490"
"Bork K800","Bork",NA,NA,NA,"есть",NA,NA,"2400","1,7",NA,"Нержавеющая сталь","скрытый",NA,NA,NA,"механический",NA,"есть","стальной","12690"
"Bork K502","Bork",NA,NA,NA,"есть",NA,NA,"2400","1,7",NA,"Нержавеющая сталь","скрытый","есть",NA,NA,"механический",NA,"есть","стальной","5690"
"Bork K515","Bork",NA,NA,NA,"есть",NA,NA,"2400","1,7",NA,"Нерж.сталь/Термостойкое стекло","скрытый","есть",NA,NA,"механический",NA,"есть","стальной","5890"
"Bork K810","Bork",NA,NA,NA,"есть",NA,"да","2000","1,5",NA,"Нерж.сталь/Термостойкое стекло","скрытый",NA,NA,NA,"механический",NA,"есть","стальной","22490"
"Kenwood SJM490","Kenwood",NA,NA,"есть","есть",NA,"нет","2200","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","2990"
"Kenwood SJM510","Kenwood",NA,NA,"есть","есть",NA,"нет","2200","1,5",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","3189"
"Kenwood SKM030","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1,25",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","белый","3490"
"Kenwood SKM031","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1,25",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","красный","3490"
"Unit UEK-247 black","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"керамика","скрытый","есть",NA,NA,"механический",NA,"есть","черный","1350"
"Unit UEK-247 white","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"керамика","скрытый","есть",NA,NA,"механический",NA,"есть","белый","1350"
"Unit UEK-248 white","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"стекло","скрытый","есть",NA,NA,"механический",NA,"есть","белый","1330"
"Unit UEK-249","Unit",NA,"2 года","-","есть",NA,"нет","2000","1,7",NA,"керамика","скрытый","есть",NA,NA,"электронный",NA,"есть","белый","1720"
"Unit UEK-250","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"стекло","скрытый","есть",NA,NA,"электронный","Новая модель","есть","черный","1490"
"Unit UEK-258 black","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"стекло","скрытый","есть",NA,NA,"механический","Новая модель","есть","черный","1990"
"Unit UEK-258 white","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"стекло","скрытый","есть",NA,NA,"механический","Новая модель","есть","белый","1990"
"Unit UEK-260 black","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"стекло","скрытый","есть",NA,NA,"электронный","Новая модель","есть","черный","1490"
"Unit UEK-260 white","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"стекло","скрытый","есть",NA,NA,"электронный","Новая модель","есть","белый","1490"
"Unit UEK-248 black","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"стекло","скрытый","есть",NA,NA,"механический",NA,"есть","черный","1330"
"Unit UEK-232 black","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"Нержавеющая сталь","скрытый","есть","электрический чайник, заварной чайник, подставка",NA,"механический",NA,"есть","черный","3590"
"Unit UEK-245","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"стекло","скрытый","есть","электрический чайник, заварной чайник, подставка",NA,"механический",NA,"есть","черный","3790"
"Unit UEK-252 black","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"керамика","скрытый","есть","электрический чайник, заварной чайник, подставка",NA,"механический","Новая модель","есть","черный","4190"
"Tefal BF9252","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","желтый","3120"
"Tefal KI230D30","Tefal",NA,"2 года","нет","есть",NA,"нет","2400","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","4290"
"Bosch TWK8613","Bosch",NA,NA,"есть","есть",NA,"нет","2400","1,5",NA,"металл/пластик","скрытый","нет",NA,NA,"электронный",NA,"есть","черный","5990"
"DeLonghi KBO2001.B","DeLonghi",NA,NA,"нет","есть",NA,"нет","2000","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","синий","9990"
"Tefal BF2634","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","голубой","1380"
"Tefal BF2639","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","бордовый","1380"
"Tefal BF6621","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","желтый","1690"
"Tefal KI2010","Tefal",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","бежевый","1880"
"Philips HD9343","Philips",NA,NA,"нет","есть",NA,"нет","2200","1,5",NA,"стекло, металл","скрытый","нет",NA,NA,"механический",NA,"есть","черный","3790"
"Oursson EK1550M/DC","Oursson",NA,NA,"нет","есть",NA,NA,"2200","1,6",NA,"металл","скрытый","есть",NA,NA,"механический",NA,"есть","темная вишня","2190"
"Oursson EK1550M/IV","Oursson",NA,NA,"нет","есть",NA,"нет","2200","1,6",NA,"металл","скрытый","есть",NA,NA,"механический",NA,"есть","слоновая кость","2190"
"Unit UEK-232 white","Unit",NA,"2 года","нет","есть",NA,"нет","2000","1,7",NA,"Нержавеющая сталь","скрытый","есть","электрический чайник, заварной чайник, подставка",NA,"механический",NA,"есть","белый","3590"
