"","Бренд","Внешние размеры  (Д х Г х В)","Внешние размеры  (Д х Г х В) мм","Внешние размеры (ДхГхВ) мм","Выходная мощность","Выходная мощность(Вт)","Гарантия","Динамики","Динамики(шт)","Дополнительная информация","Источник питания","Масса (кг","Масса (кг)","Мощность(Вт)","Пульт ДУ","Размеры (Ш x В х Г)","Совместимость","Страна производства","Тип (Док-станции для смартфонов, планшетов, плееро","Тип АС","Уникальное описание","Цвет корпуса","Цена, (р)"
"Philips DS6100","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7180"
"Sony SRS-X11B","Sony","6,1 x 6,1 x 6,1",NA,NA,"10 Вт",NA,"1 год","1",NA,"Cтереофонический входной мини-разъем, Разъем Micro",NA,NA,"0,2",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","черный","3670"
"Sony SRS-X11L","Sony","6,1 x 6,1 x 6,1",NA,NA,"10 Вт",NA,"1 год","1",NA,"Cтереофонический входной мини-разъем, Разъем Micro",NA,NA,"0,2",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","голубой","3780"
"Sony SRS-X11R","Sony","6,1 x 6,1 x 6,1",NA,NA,"10 Вт",NA,"1 год","1",NA,"Cтереофонический входной мини-разъем, Разъем Micro",NA,NA,"0,2",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","красный","3780"
"Sony SRS-X11W","Sony","6,1 x 6,1 x 6,1",NA,NA,"10 Вт",NA,"1 год","1",NA,"Cтереофонический входной мини-разъем, Разъем Micro",NA,NA,"0,2",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","белый","3780"
"Sony SRS-X1V","Sony","7,8 x 7,8 x 8",NA,NA,"5 Вт",NA,"1 год","1",NA,"Водонепроницаемая конструкция",NA,NA,"0,18",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","фиолетовый","4580"
"Sony SRS-X1W","Sony","7,8 x 7,8 x 8",NA,NA,"5 Вт",NA,"1 год","1",NA,"Водонепроницаемая конструкция",NA,NA,"0,18",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","белый","4580"
"Sony SRS-X33W","Sony","18,5 х 6 х 5,9",NA,NA,"20 Вт",NA,"1 год","1",NA,"Cтереофонический входной мини-разъем, Разъем Micro",NA,NA,"0,7",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","белый","7150"
"Sony SRS-X2R","Sony","17x6x5,6",NA,NA,"20 Вт",NA,"1 год","2",NA,"Встроенный микрофон",NA,NA,"0,5",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","красный","5470"
"Sony SRS-X2W","Sony","17x6x5,6",NA,NA,"20 Вт",NA,"1 год","2",NA,"Встроенный микрофон",NA,NA,"0,5",NA,NA,NA,NA,NA,NA,"встроенная",NA,"белый","5470"
"Sony SRS-X1B","Sony","7,8 x 7,8 x 8",NA,NA,"5 Вт",NA,"1 год","1",NA,"Водонепроницаемая конструкция",NA,NA,"0,18",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","фиолетовый","4580"
"Sony SRS-X2B","Sony","17x6x5,6",NA,NA,"20 Вт",NA,"1 год","2",NA,"Встроенный микрофон",NA,NA,"0,5",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","красный","5470"
"Sony SRS-X33B","Sony","18,5 х 6 х 5,9",NA,NA,"20 Вт",NA,"1 год","1",NA,"Cтереофонический входной мини-разъем, Разъем Micro",NA,NA,"0,7",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","черный","7250"
"Philips DS8800W","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17990"
"Philips DS8900","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19990"
"Philips DS6600","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17990"
"Philips AD7050W","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12990"
"Philips DS3880W","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25990"
"Philips DS8400","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,"iPhone 5",NA,NA,NA,NA,NA,"11390"
"Philips DS8300","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9290"
"Philips ORD7300","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7590"
"Philips AD7000W","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7990"
"Philips DS6200","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8290"
"Philips AJ7260D","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7290"
"Philips DS7580","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Док-станции",NA,NA,NA,"5370"
"Philips DS3480","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7990"
"Philips AS360","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5990"
"Philips AD385","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4260"
"Philips DS1400","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4590"
"Philips DS3400","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4990"
"Philips DS3600","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8990"
"Philips AW9000","Philips",NA,"300 x 210 x 350",NA,"100 Вт",NA,"1 год","6",NA,"Клавиши сохраненных интернет-радиостанций",NA,")10",NA,NA,NA,NA,NA,NA,NA,"встроенная",NA,"Коричневый с черным","26990"
"Philips AW3000","Philips",NA,"295 x 182 x 181",NA,"70 Вт",NA,NA,"2",NA,"Пульт ду, инструкция, сетевой кабель, крепление на",NA,NA,"2,5",NA,NA,NA,NA,NA,NA,"встроенная",NA,"Серый с черным","12990"
"Philips AW5000","Philips",NA,"330 x 205 x 258",NA,"60 Вт",NA,"1 год","6",NA,"Клавиши сохраненных интернет-радиостанций",NA,NA,"5",NA,NA,NA,NA,NA,NA,"встроенная",NA,"Серый с черным","16990"
"Philips DCM3175","Philips",NA,"238 x 899 x 234",NA,"2 x 40 Вт (80 Вт",NA,"1 год","2",NA,"Клавиши сохраненных интернет-радиостанций",NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,"Черный с серым","10790"
"Philips P9BLK","Philips",NA,"287 x 63 x 127",NA,"20 Вт",NA,"1 год","2",NA,"разъём USB для зарядки мобильных телефонов",NA,NA,"1,3",NA,NA,NA,NA,NA,NA,"встроенная",NA,"черный с темно-коричневым","13990"
"Philips P9SLV","Philips",NA,"287 x 63 x 127",NA,"20 Вт",NA,"1 год","2",NA,"разъём USB для зарядки мобильных телефонов",NA,NA,"1,3",NA,NA,NA,NA,NA,NA,"встроенная",NA,"дерево и алюминий","13990"
"Philips P9WHT","Philips",NA,"287 x 63 x 127",NA,"20 Вт",NA,"1 год","2",NA,"разъём USB для зарядки мобильных телефонов",NA,NA,"1,3",NA,NA,NA,NA,NA,NA,"встроенная",NA,"белый с бежевым","13990"
"Philips AW2000","Philips",NA,"238 x 899 x 234",NA,"2 x 50 Вт (100 Вт",NA,"1 год","2",NA,"Пульт ДУ,антена Wi-Fi,инструкция,сетевой кабель",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"черный","11990"
"Philips P8BLK","Philips",NA,"287 x 63 x 127",NA,"20 Вт",NA,"1 год","2",NA,"разъём USB для зарядки мобильных телефонов",NA,NA,"1,3",NA,NA,NA,NA,NA,NA,"встроенная",NA,"черный","11990"
"Philips DTM3155","Philips",NA,"238 x 345 x 234",NA,"2 x 25 Вт (50 Вт)",NA,NA,"2",NA,"Клавиши сохраненных интернет-радиостанций",NA,NA,"3,5",NA,NA,NA,NA,NA,NA,NA,NA,"Серый","9990"
"Philips DCM3155","Philips",NA,"238 x 345 x 234",NA,"2 x 25 Вт (50 Вт)",NA,NA,"2",NA,"Клавиши сохраненных интернет-радиостанций",NA,NA,"2,6",NA,NA,NA,NA,NA,NA,NA,NA,"Бежевый","6890"
"Philips AEA2000","Philips",NA,"74 x 22 x 74",NA,NA,NA,"1 год",NA,NA,"Диапазон беспроводной связи Bluetooth до 10 м",NA,NA,"0,04",NA,NA,NA,NA,NA,NA,NA,NA,"черный","1990"
"Samsung DA-F60","Samsung",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7990"
"Yamaha PDX-B11 blue","Yamaha",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,"сеть или 6 батарей АА",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4790"
"Yamaha PDX-B11 gray","Yamaha",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,"сеть или 6 батарей АА",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4790"
"Philips AS351","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4680"
"Philips BTS5000W","Philips",NA,"180 x 235 x 285",NA,"100 Вт",NA,"1 год","2",NA,"совместимость с ПК. телевизором, игровой  приставк",NA,NA,"7,3",NA,NA,NA,NA,NA,NA,"встроенная",NA,"черный с белым","10990"
"Philips SB3700","Philips",NA,"197 x 114 x 193",NA,"18 Вт",NA,"1 год","1",NA,"Зарядка через USB",NA,NA,"0,4",NA,NA,NA,NA,NA,NA,"встроенная",NA,"черный","9990"
"Philips SB7300","Philips",NA,"63 x 63 x 182",NA,"12 Вт",NA,"1 год","2",NA,"Зарядка через USB",NA,NA,"0,61",NA,NA,NA,NA,NA,NA,"встроенная",NA,"черный","8990"
"Philips SB7220","Philips","72 x 68 x 179",NA,NA,"8 Вт",NA,"1 год","2",NA,"ударо- и влагопрочный корпус",NA,NA,"0,488",NA,NA,NA,NA,NA,NA,"встроенная",NA,"зеленый","7490"
"Philips SB5200G","Philips","210 x 100 x 80",NA,NA,"10 Вт",NA,"1 год","2",NA,"ударо- и влагопрочный корпус",NA,NA,"0,5",NA,NA,NA,NA,NA,NA,"встроенная",NA,"зеленый","4490"
"Philips SB5200K","Philips","210 x 100 x 80",NA,NA,"10 Вт",NA,"1 год","2",NA,"ударо- и влагопрочный корпус",NA,NA,"0,5",NA,NA,NA,NA,NA,NA,"встроенная",NA,"зеленый","4490"
"Philips SBA3210","Philips","11,4 x 8,19 x 5,7",NA,NA,"4 Вт",NA,"1 год","2",NA,"Работает с iPhone, iPod, MP3-плееры, Смартфоны, че",NA,NA,"0,36",NA,NA,NA,NA,NA,NA,"встроенная",NA,"черный","2199"
"Philips SBA3110","Philips","5,7 x 8,12 x 5,7",NA,NA,"2 Вт",NA,"1 год","1",NA,"Звуковая система моно",NA,NA,"0,20",NA,NA,NA,NA,NA,NA,"встроенная",NA,"алюминиевый","860"
"Philips SBA1710","Philips","13,2 x 7,7 x 9,9",NA,NA,"4 Вт",NA,"1 год","1",NA,"Звуковая система стерео",NA,NA,"0,28",NA,NA,NA,NA,NA,NA,"встроенная",NA,"Серый","580"
"Philips SBA1710BLU","Philips","13,2 x 7,7 x 9,9",NA,NA,"4 Вт",NA,"1 год","1",NA,"Звуковая система стерео",NA,NA,"0,28",NA,NA,NA,NA,NA,NA,"встроенная",NA,"синий","590"
"Philips SBA1710GRN","Philips","13,2 x 7,7 x 9,9",NA,NA,"4 Вт",NA,"1 год","1",NA,"Звуковая система стерео",NA,NA,"0,28",NA,NA,NA,NA,NA,NA,"встроенная",NA,"зеленый","580"
"Philips SBA1710PNK","Philips","13,2 x 7,7 x 9,9",NA,NA,"4 Вт",NA,"1 год","1",NA,"Звуковая система стерео",NA,NA,"0,28",NA,NA,NA,NA,NA,NA,"встроенная",NA,"розовый","590"
"Philips SBA3011BLU","Philips","6,5 x 8 x 6,2",NA,NA,"2 Вт",NA,"1 год","1",NA,"Звуковая система моно",NA,NA,"0,13",NA,NA,NA,NA,NA,NA,"встроенная",NA,"синий","790"
"Philips SBA3011GRN","Philips","6,5 x 8 x 6,2",NA,NA,"2 Вт",NA,"1 год","1",NA,"Звуковая система моно",NA,NA,"0,13",NA,NA,NA,NA,NA,NA,"встроенная",NA,"зеленый","890"
"Philips SBA3011ORG","Philips","6,5 x 8 x 6,2",NA,NA,"2 Вт",NA,"1 год","1",NA,"Звуковая система моно",NA,NA,"0,13",NA,NA,NA,NA,NA,NA,"встроенная",NA,"оранжевый","720"
"Philips AS130","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Китай",NA,NA,NA,NA,"3080"
"Philips AS851","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Китай",NA,NA,NA,NA,"6590"
"Yamaha PDX-11 white","Yamaha",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,"сеть или 6 батарей АА",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3690"
"Pioneer STZ-D10T-G","Pioneer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5590"
"Pioneer XW-BTS3-K","Pioneer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,3","5","есть","334x171x100 мм",NA,NA,NA,NA,NA,NA,"4790"
"Pioneer XW-SMA1-K","Pioneer",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,"3,3","20","есть","320x180x145 мм",NA,NA,NA,NA,NA,NA,"5590"
"Yamaha PDX-B11 black","Yamaha",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,"сеть или 6 батарей АА",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4690"
"Yamaha PDX-B11 orange","Yamaha",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,"сеть или 6 батарей АА",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4690"
"Philips DS1150","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3990"
"Philips DS3110","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4990"
"Philips AS111","Philips",NA,"-",NA,"4 Вт",NA,NA,"2",NA,"Клавиши сохраненных интернет-радиостанций",NA,NA,"0,8",NA,NA,NA,NA,NA,NA,NA,NA,"черный","3190"
"Philips DC5070","Philips",NA,"350x350x978",NA,"2 х 60 Вт (120 Вт)",NA,"1 год","2",NA,NA,NA,NA,"10,7",NA,NA,NA,NA,"Китай",NA,NA,NA,"черный","7860"
"Philips DS1200","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Новая модель",NA,"4590"
"Philips SBA3005","Philips","5,7 x 5,7 x 8,1",NA,NA,"2 Вт",NA,"1 год","1",NA,"втягивающийся кабель AUX-IN 3.5, совместимость с i",NA,NA,"0,19",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","черный","790"
"Sony SRS-X33R","Sony","18,5 х 6 х 5,9",NA,NA,"20 Вт",NA,"1 год","1",NA,"Cтереофонический входной мини-разъем, Разъем Micro",NA,NA,"0,7",NA,NA,NA,NA,NA,NA,"встроенная","Новая модель","красный","7250"
"Philips SPA20","Philips",NA,NA,"158 x 80 x 121",NA,"7","1 год",NA,"2","управление громкостью и питанием на передней панел",NA,")0,6",NA,NA,NA,NA,NA,NA,NA,"встроенная","Да","Коричневый с черным","690"
"Philips ORD2105","Philips",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5490"
"Philips DC295","Philips",NA,"263x163x135",NA,"2 х 5 Вт (10 Вт)",NA,"1 год","2",NA,NA,NA,NA,"1,1",NA,NA,NA,NA,"Китай",NA,NA,NA,"Серый","5390"
"Philips DS1155","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5990"
"Philips DCM3260","Philips",NA,"520 x 111 x 223",NA,"2 x 20 Вт (40 Вт)",NA,NA,"2",NA,"Клавиши сохраненных интернет-радиостанций, настоль",NA,NA,"4,2",NA,NA,NA,NA,NA,NA,NA,NA,"черный","8990"
"Samsung DA-E750","Samsung",NA,NA,NA,NA,NA,"1 год",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20990"
