"","Бренд","Гарантия","Емкость для воды (л)","Масса","Масса (кг)","Многофункциональный фильтр","новинка","Потребяемая мощность (Вт)","Размеры","Размеры (мм)","Размеры (см)","Размеры(мм)","Размеры(ШхВхГ)","Размеры(ШхВхГ) (мм)","Расход воды","Расход воды ( мл/ч)","Расход воды (мл/ч)","Расход воды (мл/ч).","Рекомендуемая площадь","Рекомендуемая площадь (кв. м)","Страна производства","Тип (Увлажнители)","Тип используемых ламп","Тип светильника","Уникальное описание","Управление","Фильтр AC","Фильтр HEPA","хит продаж","Цвет","Цена, (р)"
"Polaris PUH 4205","Polaris",NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Новая модель",NA,NA,NA,NA,NA,"4070"
"Boneco Air-O-Swiss U650 black","Boneco","1 год","5,5",NA,"3,5",NA,NA,"40",NA,NA,NA,NA,NA,NA,"550 мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Да","электронное",NA,NA,NA,NA,"15570"
"Boneco Air-O-Swiss U7146 purple","Boneco","1 год","0,5","0,3 кг",NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,"100мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3590"
"Polaris PUH 3102 apple","Polaris",NA,"0,2",NA,"-",NA,NA,"2",NA,"100х100х100",NA,NA,NA,NA,NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"750"
"Polaris PUH2204 blue","Polaris",NA,"3,5","0,9 кг",NA,NA,NA,"25","295х200х150 мм",NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1920"
"Polaris PUH2204 white","Polaris",NA,"3,5",NA,"0,9",NA,NA,"25","295х200х150 мм",NA,NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1920"
"Boneco Air-O-Swiss U7146 apple green","Boneco","1 год","0,5","0,3 кг",NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,"100мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3690"
"Boneco Air-O-Swiss U7146 black","Boneco","1 год","0,5","0,3 кг",NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,"100мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3590"
"Boneco Air-O-Swiss U7146 white","Boneco","1 год","0,5","0,3 кг",NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,"100мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3590"
"Ballu UHB-255 Hello Kitty E","Ballu","1 год","1,7",NA,"1,6",NA,NA,"20",NA,NA,NA,NA,NA,"240х320х210",NA,NA,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5100"
"Ballu UHB-260 Hello Kitty Aroma","Ballu","1 год","0,1",NA,"0,24",NA,NA,"12",NA,NA,NA,NA,NA,"130х170х110",NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2850"
"Ballu UHB-550E wenge","Ballu","1 год","3","1,3 кг",NA,NA,NA,"36",NA,NA,NA,NA,"230x260x230 мм",NA,"380 мл/ч",NA,NA,NA,"40 кв. м",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3400"
"Boneco Air-O-Swiss U600 white","Boneco","1 год","5,5",NA,"4",NA,NA,"40",NA,NA,NA,NA,"280x355x240 мм",NA,"550 мл/ч",NA,NA,NA,"60 кв. м","60",NA,NA,NA,NA,"Новая модель",NA,NA,NA,NA,NA,"7390"
"Boneco Air-O-Swiss E2441A black","Boneco","1 год","3,8",NA,"3,8",NA,NA,"20","320х320х400 мм",NA,NA,NA,NA,NA,"220 мл/ч",NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13990"
"Boneco Air-O-Swiss E2441A white","Boneco","1 год","3,8",NA,"3,8",NA,NA,"20","320х320х400 мм",NA,NA,NA,NA,NA,"220 мл/ч",NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14400"
"Electrolux EHU-3515D","Electrolux","1 год","6,5",NA,NA,NA,NA,"140",NA,NA,NA,NA,NA,NA,"550мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11470"
"Boneco Air-O-Swiss S450","Boneco","1 год","7",NA,"4,5",NA,NA,"160","355х240х334 мм",NA,NA,NA,NA,NA,"550 мл/ч",NA,NA,NA,NA,"60","Чехия",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25960"
"Boneco Air-O-Swiss U201A","Boneco","1 год","3,6",NA,"1,8",NA,NA,"20","270х240х120 мм",NA,NA,NA,NA,NA,"295 мл/ч",NA,NA,NA,NA,"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,"белый","5790"
"Neoclima NHL-910M white","Neoclima","1 год","6,5",NA,"2,5",NA,NA,"38","332х192х317 мм",NA,NA,NA,NA,NA,"400 мл/ч",NA,NA,NA,NA,"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4820"
"Boneco Air-O-Swiss U7146 red","Boneco","1 год","0,5","0,3 кг",NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,"100мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3690"
"Neoclima NHL-220L purple","Neoclima",NA,"2,6",NA,"1",NA,NA,"30","200х270х200 мм",NA,NA,NA,NA,NA,"280 мл/ч",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970"
"Ballu UHB-301 green","Ballu","1 год","2,8",NA,"1,1",NA,NA,"28",NA,NA,NA,"198x288x198",NA,NA,NA,NA,"300",NA,NA,"40",NA,"ультразвуковой",NA,NA,"Новая модель",NA,NA,NA,NA,"зеленый","2480"
"Ballu UHB-1000","Ballu","1 год","<>",NA,NA,NA,NA,"<>",NA,NA,NA,"204x361x234",NA,NA,NA,NA,"350",NA,NA,"40",NA,"ультразвуковой",NA,NA,"Новая модель",NA,NA,NA,NA,"черный","7440"
"Electrolux EHAW-9010Dmini","Electrolux","2 года","2,2",NA,"3,5",NA,NA,"15",NA,"330х265х240",NA,NA,NA,NA,NA,NA,"120",NA,NA,"19",NA,NA,NA,NA,"Новая модель","электронное",NA,NA,NA,NA,"13170"
"Electrolux EHAW-9015Dmini","Electrolux","2 года","2,2",NA,"3,5",NA,NA,"15",NA,"330х265х240",NA,NA,NA,NA,NA,NA,"120",NA,NA,"19",NA,NA,NA,NA,"Новая модель","электронное",NA,NA,NA,NA,"13170"
"Electrolux EHAW-9515D","Electrolux","2 года","7",NA,"5,7",NA,NA,"15",NA,"400x320x320",NA,NA,NA,NA,NA,NA,"350",NA,NA,"40",NA,NA,NA,NA,"Новая модель","электронное",NA,NA,NA,NA,"19140"
"Electrolux EHU-1010","Electrolux","2 года","4,5",NA,"2,6",NA,NA,"25",NA,"290x170x300",NA,NA,NA,NA,NA,NA,"300",NA,NA,"30",NA,NA,NA,NA,"Новая модель","механическое",NA,NA,NA,NA,"5580"
"Electrolux EHU-1020D","Electrolux","2 года","4,5",NA,"2,7",NA,NA,"25",NA,"290x170x285",NA,NA,NA,NA,NA,NA,"300",NA,NA,"30",NA,NA,NA,NA,"Новая модель","электронное",NA,NA,NA,NA,"7750"
"Polaris PUH 4405D","Polaris",NA,"5",NA,"-",NA,NA,"30",NA,"-",NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,"Новая модель",NA,NA,NA,NA,NA,"4590"
"Polaris PUH 4405D white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Новая модель",NA,NA,NA,"Да",NA,"4690"
"Ballu UHB-195","Ballu",NA,"3,1",NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,"черный","5730"
"Ballu UHB-205 black","Ballu",NA,"3,6",NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"черный","3690"
"Ballu UHB-205 white","Ballu",NA,NA,NA,NA,NA,"Нет","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"белый","3690"
"Neoclima NHL-075","Neoclima",NA,NA,NA,NA,NA,NA,"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4750"
"Polaris PUH 2005Di","Polaris",NA,NA,NA,NA,NA,NA,"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3980"
"Polaris PUH 2145","Polaris",NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Да",NA,NA,NA,NA,NA,"2590"
"Philips HU4801","Philips","2 года",NA,"2,5 кг",NA,NA,NA,"30","34х24х25 см",NA,NA,NA,NA,NA,"200 мл/ч",NA,NA,NA,"25 кв. м",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15990"
"Neoclima NHL-901E","Neoclima","1 год","6,5",NA,"2,5",NA,NA,"38","192х317х332 мм",NA,NA,NA,NA,NA,"400 мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7260"
"Philips AC4086","Philips",NA,NA,"10 кг",NA,"нет",NA,"50","39х24,6х58,6 см",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55 кв. м",NA,NA,"климатический комплекс",NA,NA,NA,NA,"AC4143","AC4143",NA,"миндаль","42990"
"Philips AC4014","Philips",NA,NA,"6 кг",NA,"-",NA,"50","19,6х35х62,3 см",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55 кв. м",NA,NA,"климатический комплекс",NA,NA,NA,NA,"AC4143","AC4143",NA,"белый","24990"
"Philips AC4084","Philips",NA,NA,"10 кг",NA,"нет",NA,"50","39х24,6х58,6 см",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40 кв. м",NA,NA,"климатический комплекс",NA,NA,NA,NA,"AC4143","AC4143",NA,"белый","35990"
"Philips AC4121","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"фильтр",NA,NA,NA,NA,NA,NA,NA,NA,"3690"
"Philips AC4123","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"фильтр",NA,NA,NA,NA,NA,NA,NA,NA,"3690"
"Philips AC4124","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"фильтр",NA,NA,NA,NA,NA,NA,NA,NA,"3590"
"Philips AC4141","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"фильтр",NA,NA,NA,NA,NA,NA,NA,NA,"3690"
"Philips AC4143","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"фильтр",NA,NA,NA,NA,NA,NA,NA,NA,"3690"
"Philips AC4144","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"фильтр",NA,NA,NA,NA,NA,NA,NA,NA,"3590"
"Philips AC4148","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"фильтр",NA,NA,NA,NA,NA,NA,NA,NA,"2890"
"Philips AC4149","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"фильтр",NA,NA,NA,NA,NA,NA,NA,NA,"1590"
"Philips HU4101","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"фильтр",NA,NA,NA,NA,NA,NA,NA,NA,"5390"
"Ballu FC-550","Ballu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"фильтр",NA,NA,NA,NA,NA,NA,NA,NA,"690"
"Philips HU4111","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"фильтр",NA,NA,NA,NA,NA,NA,NA,NA,"10990"
"Philips HU4112","Philips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"фильтр",NA,NA,NA,NA,NA,NA,NA,NA,"3590"
"Vigor HX-6611","Vigor",NA,"1,7",NA,"0,5",NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,"200",NA,NA,"30",NA,NA,NA,NA,"Да",NA,NA,NA,NA,"бело-синий","2030"
"Electrolux EHU-5515D","Electrolux","1 год","6,7","4 кг",NA,NA,NA,"40","347х254х290 мм",NA,NA,NA,NA,NA,"400мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Да",NA,NA,NA,NA,NA,"12390"
"Boneco Air-O-Swiss U650 white","Boneco","1 год","5,5",NA,"3,5",NA,NA,"40",NA,NA,NA,NA,NA,NA,"550 мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Да","электронное",NA,NA,NA,NA,"15570"
"Electrolux EHU-3510D","Electrolux","1 год","6,5","3,5 кг",NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,"550мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Да",NA,NA,NA,NA,NA,"11470"
"Medisana UHW","Medisana",NA,"4,5","2 кг",NA,NA,NA,"32","265х330х200 мм",NA,NA,NA,NA,NA,"230 мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2190"
"Medisana Ultrabreeze","Medisana",NA,"1,3","1,1 кг",NA,NA,NA,"36","196х135х256 мм",NA,NA,NA,NA,NA,"- мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3670"
"Neoclima NHL-220L black","Neoclima",NA,"2,6",NA,"1",NA,NA,"30","200х270х200 мм",NA,NA,NA,NA,NA,"280 мл/ч",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1590"
"Neoclima NHL-220L red","Neoclima",NA,"2,6",NA,"1",NA,NA,"30","200х270х200 мм",NA,NA,NA,NA,NA,"280 мл/ч",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1590"
"Neoclima NHL-910M","Neoclima","1 год","6,5",NA,"2,5",NA,NA,"38","332х192х317 мм",NA,NA,NA,NA,NA,"400 мл/ч",NA,NA,NA,NA,"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6490"
"Ballu UHB-200","Ballu","1 год","3,6",NA,"1",NA,NA,"28",NA,NA,NA,"160x348x160",NA,NA,NA,NA,"350",NA,NA,"40",NA,"ультразвуковой",NA,NA,"Новая модель",NA,NA,NA,NA,"белый","2700"
"Polaris PUH 3204","Polaris",NA,"4",NA,"1,9",NA,NA,"30",NA,"-",NA,NA,NA,NA,NA,NA,"300 мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2470"
"Ballu UHB-800","Ballu","1 год","4",NA,"3,6",NA,NA,"120",NA,NA,NA,NA,"240x280x210 мм",NA,"500 мл/ч",NA,NA,NA,NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7390"
"Boneco Air-O-Swiss U600 black","Boneco","1 год","5,5",NA,"4",NA,NA,"40",NA,NA,NA,NA,"280x355x240 мм",NA,"550 мл/ч",NA,NA,NA,"60 кв. м","60",NA,NA,NA,NA,"Новая модель",NA,NA,NA,NA,NA,"7390"
"Electrolux EHU-5525D","Electrolux","1 год","6,7",NA,"4",NA,NA,"125","290x350x250 мм",NA,NA,NA,NA,NA,"500мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12890"
"Ballu UHB-550E oak","Ballu","1 год","3","1,3 кг",NA,NA,NA,"36",NA,NA,NA,NA,"230x260x230 мм",NA,"380 мл/ч",NA,NA,NA,"40 кв. м",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3400"
"Boneco Air-O-Swiss U7135","Boneco","1 год","36,5",NA,"3,5",NA,NA,"45",NA,NA,NA,NA,NA,NA,"400 мл/ч",NA,NA,NA,NA,"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11590"
"Neoclima NHL-901E white","Neoclima",NA,"6,5",NA,"2,5",NA,NA,"38","192х317х332 мм",NA,NA,NA,NA,NA,"400 мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7260"
"Neoclima NHL-220L white","Neoclima",NA,"2,6",NA,"1",NA,NA,"30","200х270х200 мм",NA,NA,NA,NA,NA,"280 мл/ч",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1590"
"Polaris PUH 5005 Diamond","Polaris",NA,"5",NA,"2",NA,NA,"60",NA,"365x235x150",NA,NA,NA,NA,NA,NA,"400",NA,NA,NA,NA,NA,NA,NA,"Новая модель",NA,NA,NA,NA,NA,"4060"
"Polaris PUH 3305Di","Polaris",NA,"5",NA,"2,7",NA,NA,"30",NA,"340x310x160",NA,NA,NA,NA,NA,NA,"450",NA,NA,NA,NA,NA,NA,NA,"Новая модель",NA,NA,NA,NA,NA,"4990"
"Polaris PUH 3504","Polaris",NA,"4","-",NA,NA,NA,"30","-",NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,"Новая модель",NA,NA,NA,NA,NA,"2590"
"Bork H500","Bork","1 год","6","4,6 кг",NA,NA,NA,"140","320х280х210 мм",NA,NA,NA,NA,NA,"550мл/ч",NA,NA,NA,NA,NA,"Корея",NA,NA,NA,"Новая модель",NA,NA,NA,NA,NA,"16990"
"Ballu UHB-300","Ballu","1 год","2,8",NA,"1,1",NA,NA,"28",NA,NA,NA,"198x288x198",NA,NA,NA,NA,"300",NA,NA,"40",NA,"ультразвуковой",NA,NA,"Новая модель",NA,NA,NA,NA,"белый","2480"
"Ballu UHB-400 oak","Ballu","1 год","2,8",NA,"1,1",NA,NA,"28",NA,NA,NA,"198x288x198",NA,NA,NA,NA,"300",NA,NA,"40",NA,"ультразвуковой",NA,NA,"Новая модель",NA,NA,NA,NA,"дуб","2630"
"Ballu UHB-400 wenge","Ballu","1 год","2,8",NA,"1,1",NA,NA,"28",NA,NA,NA,"198x288x198",NA,NA,NA,NA,"300",NA,NA,"40",NA,"ультразвуковой",NA,NA,"Новая модель",NA,NA,NA,NA,"венге","2630"
"Beaba SILENSO HUMIDIFER 920262","Beaba","10 лет",NA,NA,"1",NA,NA,NA,NA,NA,"32х27х9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1x40W-E14","настенный","Новая модель",NA,NA,NA,NA,NA,"4990"
"Ballu UHB-270 M Winnie Pooh","Ballu","1 год","3",NA,"1,4",NA,NA,"20",NA,NA,NA,NA,NA,"240х320х210",NA,NA,"200",NA,NA,"30",NA,"ультразвуковой",NA,NA,"Новая модель",NA,NA,NA,NA,NA,"4650"
"Ballu UHB-240 blue","Ballu","1 год","1,5",NA,"1,5",NA,NA,"18",NA,NA,NA,NA,NA,"240x210x145",NA,NA,"180",NA,NA,"20",NA,"ультразвуковой",NA,NA,"Новая модель",NA,NA,NA,NA,NA,"4070"
"Ballu UHB-240 pink","Ballu","1 год","1,5",NA,"1,5",NA,NA,"18",NA,NA,NA,NA,NA,"240x210x145",NA,NA,"180",NA,NA,"20",NA,"ультразвуковой",NA,NA,"Новая модель",NA,NA,NA,NA,NA,"4070"
"Ballu UHB-240 yellow","Ballu","1 год","1,5",NA,"1,5",NA,NA,"18",NA,NA,NA,NA,NA,"240x210x145",NA,NA,"180",NA,NA,"20",NA,"ультразвуковой",NA,NA,"Новая модель",NA,NA,NA,NA,NA,"4070"
"Polaris PUH 4545 Wave","Polaris",NA,"4,5",NA,"2,1",NA,NA,"30",NA,"230x377x140",NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,"Новая модель",NA,NA,NA,"Нет",NA,"4590"
"Rowenta HU5115","Rowenta",NA,"5,5",NA,"-",NA,NA,"110",NA,"-",NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,"Новая модель",NA,NA,NA,NA,NA,"8650"
"Vigor HX-6612","Vigor",NA,"2",NA,"1",NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,"400",NA,NA,"30",NA,NA,NA,NA,"Да",NA,NA,NA,NA,"бело-синий","2120"
"Vigor HX-6614","Vigor",NA,"3",NA,"2,5",NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,"300",NA,NA,"30",NA,NA,NA,NA,"Да",NA,NA,NA,NA,"белый","3210"
"Vigor HX-6615","Vigor",NA,"2,5",NA,"2,5",NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,"300",NA,NA,"30",NA,NA,NA,NA,"Да",NA,NA,NA,NA,"белый","3210"
"Polaris PUH2204 black","Polaris",NA,"3,5","0,9 кг",NA,NA,NA,"25","295х200х150 мм",NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1590"
"Polaris PUH2204 green","Polaris",NA,"3,5","0,9 кг",NA,NA,NA,"25","295х200х150 мм",NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1590"
"Ballu UHB-250 Hello Kitty M","Ballu",NA,"1,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4490"
"Ballu UHB-205 white/violet","Ballu",NA,NA,NA,NA,NA,"Да","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"белый","3690"
"Philips HU4803","Philips",NA,NA,"2,5 кг",NA,NA,NA,"30","34х24х25 см",NA,NA,NA,NA,NA,"200 мл/ч",NA,NA,NA,"25 кв. м",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17990"
"Philips HU4903","Philips",NA,NA,"2,5 кг",NA,NA,NA,NA,"34х31,6х41,5 см",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50 кв. м",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18990"
"Philips HU4802","Philips",NA,NA,"2,5 кг",NA,NA,NA,"30","34х24х25 см",NA,NA,NA,NA,NA,"200 мл/ч",NA,NA,NA,"25 кв. м",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15990"
"Philips AC4004","Philips",NA,NA,"5,3 кг",NA,"AC4121",NA,"50","19,8х33,1х53,5 см",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 кв. м",NA,NA,"климатический комплекс",NA,NA,NA,NA,"AC4123","AC4124",NA,"серебристый","24990"
"Ballu UHB-275 E Winnie Pooh","Ballu","1 год","3",NA,"1,4",NA,NA,"20",NA,NA,NA,NA,NA,"240х320х210",NA,NA,"200",NA,NA,"30",NA,"ультразвуковой",NA,NA,"Новая модель",NA,NA,NA,NA,NA,"5730"
"Ballu UHB-280 M Mickey Mouse","Ballu","1 год","3",NA,"1,3",NA,NA,"20",NA,NA,NA,NA,NA,"336x232x225",NA,NA,"200",NA,NA,"30",NA,"ультразвуковой",NA,NA,"Новая модель",NA,NA,NA,NA,NA,"5730"
"Electrolux EHU-3310D","Electrolux","1 год","5,5",NA,"3",NA,NA,"85",NA,"360х225х155",NA,NA,NA,NA,NA,NA,"400",NA,NA,"45",NA,NA,NA,NA,"Новая модель","электронное",NA,NA,NA,NA,"10320"
"Electrolux EHU-3315D","Electrolux","1 год","5,5",NA,"3",NA,NA,"85",NA,"360х225х155",NA,NA,NA,NA,NA,NA,"400",NA,NA,"45",NA,NA,NA,NA,"Новая модель","электронное",NA,NA,NA,NA,"10320"
"Electrolux EHU-3715D","Electrolux","1 год","5",NA,"3",NA,NA,"30",NA,"380х210х210",NA,NA,NA,NA,NA,NA,"450",NA,NA,"45",NA,NA,NA,NA,"Новая модель","электронное",NA,NA,NA,NA,"11450"
